Variable,Value,ValueDescription,QuestionOrMeaning,FreeText,Type
B3_14_add_rep,cylinder months; No; NA,,Insulating jack et on h ot water Has been add ed or replaced in th e last 12,FALSE,Primary
B3_15_add_rep,months; No; NA,,Thermostat on hot wa ter cylinder Has been add ed or replaced in th e last 12,FALSE,Primary
B3_16_add_rep,months; No; NA,,Other Has been add ed or replaced in th e last 12,FALSE,Primary
B3_1_err,icity TRUE/FALSE,,Solar panels fo r electr,FALSE,Derived
B3_2_err,ating TRUE/FALSE,,Solar water he,FALSE,Derived
B3_3_err,wired into TRUE/FALSE,,Battery storage that is your mains ele ctricity,FALSE,Derived
B3_4_err,harging TRUE/FALSE,,Electric vehicle (EV) c point,FALSE,Derived
B3_5_err,t of your TRUE/FALSE,,LED light bulbs in mos lights,FALSE,Derived
B3_6_err,g areas TRUE/FALSE,,Radiators in m ain livin,FALSE,Derived
B3_7_err,valves on TRUE/FALSE,,Thermostatic r adiator at least half of your ra diators,FALSE,Derived
B3_8_err,main living TRUE/FALSE,,Underfloor hea ting in areas,FALSE,Derived
B3_9_err,s in main TRUE/FALSE,,Warm air heati ng unit living areas,FALSE,Derived
B3_10_err,ostat TRUE/FALSE,,Central heating therm,FALSE,Derived
B3_11_err,lock / TRUE/FALSE,,Central heating time c programmer,FALSE,Derived
B3_12_err,"(e.g., TRUE/FALSE",,"Smart heating control Nest, Hive, Tad o)",FALSE,Derived
B3_13_err,der TRUE/FALSE,,Hot water cylin,FALSE,Derived
B3_14_err,ot water TRUE/FALSE,,Insulating jack et on h cylinder,FALSE,Derived
B3_15_err,ter cylinder TRUE/FALSE,,Thermostat on hot wa,FALSE,Derived
B3_16_err,Other TRUE/FALSE,,,FALSE,Derived
B4_1_yes,Loft insulation Yes; No; No r esp on se,,,FALSE,Primary
B4_2_yes,n Yes; No; No res ponse,,Cavity wall insula tio,FALSE,Primary
B4_3_yes,ion Yes; No; No res ponse,,Solid wall insulat,FALSE,Primary
B4_4_yes,tion Yes; No; No res ponse,,Underfloor insula,FALSE,Primary
B4_5_yes,glazed Yes; No; No res ponse,,Double or second ary windows,FALSE,Primary
B4_6_yes,"windows, Yes; No; No res ponse",,Draughtproofing on doors and/or chi mn eys,FALSE,Primary
B4_7_yes,Other Yes; No; No res ponse,,,FALSE,Primary
B4_1_add_rep,months; No; N A,,Loft insulation Has been ad de d or replaced in the last 12,FALSE,Primary
B4_2_add_rep,months; No; N A,,Cavity wall insula tio n Has been ad de d or replaced in the last 12,FALSE,Primary
B4_3_add_rep,months; No; N A,,Solid wall insulat ion Has been ad de d or replaced in the last 12,FALSE,Primary
B4_4_add_rep,months; No; N A,,Underfloor insula tion Has been ad de d or replaced in the last 12,FALSE,Primary
B4_5_add_rep,windows months; No; N A,,Double or second ary glazed Has been ad de d or replaced in the last 12,FALSE,Primary
B4_6_add_rep,eys months; No; N A,,"Draughtproofing on windows, Has been ad de d or replaced in the last 12 doors and/or chi mn",FALSE,Primary
B4_7_add_rep,months; No; N A,,Other Has been ad de d or replaced in the last 12,FALSE,Primary
B4_1_err,Loft insulation TRUE/FALSE,,,FALSE,Derived
B4_2_err,n TRUE/FALSE,,Cavity wall insula tio,FALSE,Derived
B4_3_err,ion TRUE/FALSE,,Solid wall insulat,FALSE,Derived
B4_4_err,tion TRUE/FALSE,,Underfloor insula,FALSE,Derived
B4_5_err,glazed TRUE/FALSE,,Double or second ary windows,FALSE,Derived
B4_6_err,"windows, TRUE/FALSE",,Draughtproofing on doors and/or chi mn eys,FALSE,Derived
B4_7_err,Other TRUE/FALSE,,,FALSE,Derived
B5,oblems with Yes; No; Don 't know,,"Do you have any pr condensation, da mp or mould in your home?",FALSE,Primary
B6_1,ows or in Minor; Subs tantial; Don't know,,Mould around th e wind the bathroom,FALSE,Primary
B6_2,alls Minor; Subs tantial; Don't know,,Mould on any w,FALSE,Primary
B6_3,hings Minor; Subs tantial; Don't know,,Mould on furnis,FALSE,Primary
C1,"Below 10,0 00; 10 ,001 t o 20,0 00; 20,001 household to 30,000; 30,00 1 to 40,000; 40,001 to 50,000; 5 0,001 t o 60, 000; 6 0,001 to 70,000; 7 0,001 t o 80, 000; 8 0,001 to 90,000; 9 0,0001 to 1 00,000; Above 100,000; P refer no t to a nswer",,Select option th at corre sponds with your recent gross annual income?,FALSE,Primary
C2_electricity,ine dire ct debit); st offi ce); Pre payment meter; Inclu ded in r ent; O ther; N ot applicable / no mains g as; Don 't kno w,,"Electricity Direct debit (includi ng onl Payment on receipt of bill (by pos t, telephone, online or at bank/po",FALSE,Primary
