Variable,Value,ValueDescription,QuestionOrMeaning,FreeText,Type
Q5_6,-1,Don't know,Do you have guinea pigs?,FALSE,Primary
Q5_6,0,No,Do you have guinea pigs?,FALSE,Primary
Q5_6,1,Yes,Do you have guinea pigs?,FALSE,Primary
Q5_7,-9,Not applicable,Do you have hamsters?,FALSE,Primary
Q5_7,-3,Prefer not to say,Do you have hamsters?,FALSE,Primary
Q5_7,-2,No answer,Do you have hamsters?,FALSE,Primary
Q5_7,-1,Don't know,Do you have hamsters?,FALSE,Primary
Q5_7,0,No,Do you have hamsters?,FALSE,Primary
Q5_7,1,Yes,Do you have hamsters?,FALSE,Primary
Q5_8,-9,Not applicable,Do you have tortoises and turtles?,FALSE,Primary
Q5_8,-3,Prefer not to say,Do you have tortoises and turtles?,FALSE,Primary
Q5_8,-2,No answer,Do you have tortoises and turtles?,FALSE,Primary
Q5_8,-1,Don't know,Do you have tortoises and turtles?,FALSE,Primary
Q5_8,0,No,Do you have tortoises and turtles?,FALSE,Primary
Q5_8,1,Yes,Do you have tortoises and turtles?,FALSE,Primary
Q5_9,-9,Not applicable,Do you have lizard?,FALSE,Primary
Q5_9,-3,Prefer not to say,Do you have lizard?,FALSE,Primary
Q5_9,-2,No answer,Do you have lizard?,FALSE,Primary
Q5_9,-1,Don't know,Do you have lizard?,FALSE,Primary
Q5_9,0,No,Do you have lizard?,FALSE,Primary
Q5_9,1,Yes,Do you have lizard?,FALSE,Primary
Q6,-9,Not applicable,What type of accommodation do you live in?,FALSE,Primary
Q6,-3,Prefer not to say,What type of accommodation do you live in?,FALSE,Primary
Q6,-2,No answer,What type of accommodation do you live in?,FALSE,Primary
Q6,-1,Don't know,What type of accommodation do you live in?,FALSE,Primary
Q6,1,Detached,What type of accommodation do you live in?,FALSE,Primary
Q6,2,Semi detached,What type of accommodation do you live in?,FALSE,Primary
Q6,3,Terraced (including end terrace),What type of accommodation do you live in?,FALSE,Primary
Q6,4,In a purpose-built block of flats or tenement,What type of accommodation do you live in?,FALSE,Primary
Q6,5,Part of a converted or shared house (including bedsits),What type of accommodation do you live in?,FALSE,Primary
Q6,6,"In a commercial building (e.g. in an office building, hotel or over a shop)",What type of accommodation do you live in?,FALSE,Primary
Q7,-9,Not applicable,Is your accommodation self-contained?,FALSE,Primary
Q7,-3,Prefer not to say,Is your accommodation self-contained?,FALSE,Primary
Q7,-2,No answer,Is your accommodation self-contained?,FALSE,Primary
Q7,-1,Don't know,Is your accommodation self-contained?,FALSE,Primary
Q7,1,"Yes, all the rooms are behind a door that only my household can use",Is your accommodation self-contained?,FALSE,Primary
Q7,2,No,Is your accommodation self-contained?,FALSE,Primary
Q8,-2,No answer,How many of these rooms count as bedrooms,TRUE,Primary
Q9,-9,Not applicable,How many bathrooms do you have with a plumbed in bath or shower?,FALSE,Primary
Q9,-3,Prefer not to say,How many bathrooms do you have with a plumbed in bath or shower?,FALSE,Primary
Q9,-2,No answer,How many bathrooms do you have with a plumbed in bath or shower?,FALSE,Primary
Q9,-1,Don't know,How many bathrooms do you have with a plumbed in bath or shower?,FALSE,Primary
Q9,0,0,How many bathrooms do you have with a plumbed in bath or shower?,FALSE,Primary
Q9,1,1,How many bathrooms do you have with a plumbed in bath or shower?,FALSE,Primary
Q9,2,2,How many bathrooms do you have with a plumbed in bath or shower?,FALSE,Primary
Q9,3,3,How many bathrooms do you have with a plumbed in bath or shower?,FALSE,Primary
Q9,4,4 or more,How many bathrooms do you have with a plumbed in bath or shower?,FALSE,Primary
Q10,-9,Not applicable,Do you (or your household) own or rent this accommodation?,FALSE,Primary
Q10,-3,Prefer not to say,Do you (or your household) own or rent this accommodation?,FALSE,Primary
Q10,-2,No answer,Do you (or your household) own or rent this accommodation?,FALSE,Primary
Q10,-1,Don't know,Do you (or your household) own or rent this accommodation?,FALSE,Primary
Q10,1,Own it outright / buying it with a mortgage/loan,Do you (or your household) own or rent this accommodation?,FALSE,Primary
Q10,2,Part own and part rent (shared ownership),Do you (or your household) own or rent this accommodation?,FALSE,Primary
Q10,3,Rent it privately (with or without housing benefit),Do you (or your household) own or rent this accommodation?,FALSE,Primary
Q10,4,Rent it from council (local authority) or housing association (with or without housing benefit),Do you (or your household) own or rent this accommodation?,FALSE,Primary
Q10,5,Live here rent free,Do you (or your household) own or rent this accommodation?,FALSE,Primary
Q11,-9,Not applicable,Approximately when do you think your accommodation was built?,FALSE,Primary
Q11,-3,Prefer not to say,Approximately when do you think your accommodation was built?,FALSE,Primary
Q11,-2,No answer,Approximately when do you think your accommodation was built?,FALSE,Primary
Q11,-1,Don't know,Approximately when do you think your accommodation was built?,FALSE,Primary
Q11,1,Before 1900,Approximately when do you think your accommodation was built?,FALSE,Primary
Q11,2,1900 to 1929,Approximately when do you think your accommodation was built?,FALSE,Primary
Q11,3,1930 to 1949,Approximately when do you think your accommodation was built?,FALSE,Primary
Q11,4,1950 to 1975,Approximately when do you think your accommodation was built?,FALSE,Primary
Q11,5,1976 to 1990,Approximately when do you think your accommodation was built?,FALSE,Primary
Q11,6,1991 to 2002,Approximately when do you think your accommodation was built?,FALSE,Primary
Q11,7,2003 onwards,Approximately when do you think your accommodation was built?,FALSE,Primary
Q11,8,Don't know,Approximately when do you think your accommodation was built?,FALSE,Primary
Q12R1,-9,Not applicable,Do you have mould around the windows or in the bathroom?,FALSE,Primary
Q12R1,-3,Prefer not to say,Do you have mould around the windows or in the bathroom?,FALSE,Primary
Q12R1,-2,No answer,Do you have mould around the windows or in the bathroom?,FALSE,Primary
Q12R1,-1,Don't know,Do you have mould around the windows or in the bathroom?,FALSE,Primary
Q12R1,1,None,Do you have mould around the windows or in the bathroom?,FALSE,Primary
Q12R1,2,Minor,Do you have mould around the windows or in the bathroom?,FALSE,Primary
Q12R1,3,Substantial,Do you have mould around the windows or in the bathroom?,FALSE,Primary
Q12R2,-9,Not applicable,Do you have mould on any walls?,FALSE,Primary
Q12R2,-3,Prefer not to say,Do you have mould on any walls?,FALSE,Primary
Q12R2,-2,No answer,Do you have mould on any walls?,FALSE,Primary
Q12R2,-1,Don't know,Do you have mould on any walls?,FALSE,Primary
Q12R2,1,None,Do you have mould on any walls?,FALSE,Primary
Q12R2,2,Minor,Do you have mould on any walls?,FALSE,Primary
Q12R2,3,Substantial,Do you have mould on any walls?,FALSE,Primary
Q12R3,-9,Not applicable,Do you have mould on furnishings?,FALSE,Primary
Q12R3,-3,Prefer not to say,Do you have mould on furnishings?,FALSE,Primary
Q12R3,-2,No answer,Do you have mould on furnishings?,FALSE,Primary
Q12R3,-1,Don't know,Do you have mould on furnishings?,FALSE,Primary
Q12R3,1,None,Do you have mould on furnishings?,FALSE,Primary
Q12R3,2,Minor,Do you have mould on furnishings?,FALSE,Primary
Q12R3,3,Substantial,Do you have mould on furnishings?,FALSE,Primary
Q13_1,-9,Not applicable,Appliances in accommodation - Kitchen - Electric Oven,FALSE,Primary
Q13_1,-3,Prefer not to say,Appliances in accommodation - Kitchen - Electric Oven,FALSE,Primary
Q13_1,-2,No answer,Appliances in accommodation - Kitchen - Electric Oven,FALSE,Primary
Q13_1,-1,Don't know,Appliances in accommodation - Kitchen - Electric Oven,FALSE,Primary
Q13_1,0,No,Appliances in accommodation - Kitchen - Electric Oven,FALSE,Primary
Q13_1,1,Yes,Appliances in accommodation - Kitchen - Electric Oven,FALSE,Primary
Q13_10,-9,Not applicable,Appliances in accommodation - Laundry - Combined clothes washer dryer,FALSE,Primary
Q13_10,-3,Prefer not to say,Appliances in accommodation - Laundry - Combined clothes washer dryer,FALSE,Primary
Q13_10,-2,No answer,Appliances in accommodation - Laundry - Combined clothes washer dryer,FALSE,Primary
Q13_10,-1,Don't know,Appliances in accommodation - Laundry - Combined clothes washer dryer,FALSE,Primary
Q13_10,0,No,Appliances in accommodation - Laundry - Combined clothes washer dryer,FALSE,Primary
Q13_10,1,Yes,Appliances in accommodation - Laundry - Combined clothes washer dryer,FALSE,Primary
Q13_11,-9,Not applicable,Appliances in accommodation - Laundry - Washing machine,FALSE,Primary
Q13_11,-3,Prefer not to say,Appliances in accommodation - Laundry - Washing machine,FALSE,Primary
Q13_11,-2,No answer,Appliances in accommodation - Laundry - Washing machine,FALSE,Primary
Q13_11,-1,Don't know,Appliances in accommodation - Laundry - Washing machine,FALSE,Primary
Q13_11,0,No,Appliances in accommodation - Laundry - Washing machine,FALSE,Primary
Q13_11,1,Yes,Appliances in accommodation - Laundry - Washing machine,FALSE,Primary
Q13_12,-9,Not applicable,Appliances in accommodation - Laundry - Tumble dryer,FALSE,Primary
Q13_12,-3,Prefer not to say,Appliances in accommodation - Laundry - Tumble dryer,FALSE,Primary
Q13_12,-2,No answer,Appliances in accommodation - Laundry - Tumble dryer,FALSE,Primary
Q13_12,-1,Don't know,Appliances in accommodation - Laundry - Tumble dryer,FALSE,Primary
Q13_12,0,No,Appliances in accommodation - Laundry - Tumble dryer,FALSE,Primary
Q13_12,1,Yes,Appliances in accommodation - Laundry - Tumble dryer,FALSE,Primary
Q13_13,-9,Not applicable,Appliances in accommodation - Laundry - Electric Drying Rack (heated airer),FALSE,Primary
Q13_13,-3,Prefer not to say,Appliances in accommodation - Laundry - Electric Drying Rack (heated airer),FALSE,Primary
Q13_13,-2,No answer,Appliances in accommodation - Laundry - Electric Drying Rack (heated airer),FALSE,Primary
Q13_13,-1,Don't know,Appliances in accommodation - Laundry - Electric Drying Rack (heated airer),FALSE,Primary
Q13_13,0,No,Appliances in accommodation - Laundry - Electric Drying Rack (heated airer),FALSE,Primary
Q13_13,1,Yes,Appliances in accommodation - Laundry - Electric Drying Rack (heated airer),FALSE,Primary
Q13_14,-9,Not applicable,Appliances in accommodation - Laundry - Electric Iron,FALSE,Primary
Q13_14,-3,Prefer not to say,Appliances in accommodation - Laundry - Electric Iron,FALSE,Primary
Q13_14,-2,No answer,Appliances in accommodation - Laundry - Electric Iron,FALSE,Primary
Q13_14,-1,Don't know,Appliances in accommodation - Laundry - Electric Iron,FALSE,Primary
Q13_14,0,No,Appliances in accommodation - Laundry - Electric Iron,FALSE,Primary
Q13_14,1,Yes,Appliances in accommodation - Laundry - Electric Iron,FALSE,Primary
Q13_15,-9,Not applicable,Appliances in accommodation - Housework - Vacuum Cleaner,FALSE,Primary
Q13_15,-3,Prefer not to say,Appliances in accommodation - Housework - Vacuum Cleaner,FALSE,Primary
Q13_15,-2,No answer,Appliances in accommodation - Housework - Vacuum Cleaner,FALSE,Primary
Q13_15,-1,Don't know,Appliances in accommodation - Housework - Vacuum Cleaner,FALSE,Primary
Q13_15,0,No,Appliances in accommodation - Housework - Vacuum Cleaner,FALSE,Primary
Q13_15,1,Yes,Appliances in accommodation - Housework - Vacuum Cleaner,FALSE,Primary
Q13_16,-9,Not applicable,Appliances in accommodation - Electric Shower,FALSE,Primary
Q13_16,-3,Prefer not to say,Appliances in accommodation - Electric Shower,FALSE,Primary
Q13_16,-2,No answer,Appliances in accommodation - Electric Shower,FALSE,Primary
Q13_16,-1,Don't know,Appliances in accommodation - Electric Shower,FALSE,Primary
Q13_16,0,No,Appliances in accommodation - Electric Shower,FALSE,Primary
Q13_16,1,Yes,Appliances in accommodation - Electric Shower,FALSE,Primary
Q13_17,-9,Not applicable,"Appliances in accommodation - Consumer electronics - Laptop, computer",FALSE,Primary
Q13_17,-3,Prefer not to say,"Appliances in accommodation - Consumer electronics - Laptop, computer",FALSE,Primary
Q13_17,-2,No answer,"Appliances in accommodation - Consumer electronics - Laptop, computer",FALSE,Primary
Q13_17,-1,Don't know,"Appliances in accommodation - Consumer electronics - Laptop, computer",FALSE,Primary
Q13_17,0,No,"Appliances in accommodation - Consumer electronics - Laptop, computer",FALSE,Primary
Q13_17,1,Yes,"Appliances in accommodation - Consumer electronics - Laptop, computer",FALSE,Primary
Q13_18,-9,Not applicable,Appliances in accommodation - Consumer electronics - TV,FALSE,Primary
Q13_18,-3,Prefer not to say,Appliances in accommodation - Consumer electronics - TV,FALSE,Primary
Q13_18,-2,No answer,Appliances in accommodation - Consumer electronics - TV,FALSE,Primary
Q13_18,-1,Don't know,Appliances in accommodation - Consumer electronics - TV,FALSE,Primary
Q13_18,0,No,Appliances in accommodation - Consumer electronics - TV,FALSE,Primary
Q13_18,1,Yes,Appliances in accommodation - Consumer electronics - TV,FALSE,Primary
Q13_19,-9,Not applicable,Appliances in accommodation - Smart home assistants / speakers (e.g. Alexa),FALSE,Primary
Q13_19,-3,Prefer not to say,Appliances in accommodation - Smart home assistants / speakers (e.g. Alexa),FALSE,Primary
Q13_19,-2,No answer,Appliances in accommodation - Smart home assistants / speakers (e.g. Alexa),FALSE,Primary
Q13_19,-1,Don't know,Appliances in accommodation - Smart home assistants / speakers (e.g. Alexa),FALSE,Primary
Q13_19,0,No,Appliances in accommodation - Smart home assistants / speakers (e.g. Alexa),FALSE,Primary
