Variable,QuestionText,ResponseValue,ResponseDescription
Q11b_5,"For each activity, please compare it to how often your household used to do this before the lockdown started. - Dishwasher used [QID20%231-ChoiceTextEntryValue-5-1] times a week",4,Don't know
Q11b_6,"For each activity, please compare it to how often your household used to do this before the lockdown started. - Cooker, grill or oven used [QID20%231-ChoiceTextEntryValue-6-1] times a week",1,This is more than before lockdown
Q11b_6,"For each activity, please compare it to how often your household used to do this before the lockdown started. - Cooker, grill or oven used [QID20%231-ChoiceTextEntryValue-6-1] times a week",2,This is fewer than before lockdown
Q11b_6,"For each activity, please compare it to how often your household used to do this before the lockdown started. - Cooker, grill or oven used [QID20%231-ChoiceTextEntryValue-6-1] times a week",3,This is about the same
Q11b_6,"For each activity, please compare it to how often your household used to do this before the lockdown started. - Cooker, grill or oven used [QID20%231-ChoiceTextEntryValue-6-1] times a week",4,Don't know
Q12a_2_1_1,"We are interested in how long your household spent using certain devices or equipment during the... - Not applicable - How long did your household have the TV on, including when a TV was used for playing games? (Don’t have this device/equipment)",1,(Don’t have this device/equipment)
Q12a_2_2_1,"We are interested in how long your household spent using certain devices or equipment during the... - Not applicable - How long did your household spend using a laptop, computer, or tablet? (Don’t have this device/equipment)",1,(Don’t have this device/equipment)
Q12a_2_3_1,We are interested in how long your household spent using certain devices or equipment during the... - Not applicable - How long did your household spend using electric gym equipment? (Don’t have this device/equipment),1,(Don’t have this device/equipment)
Q12b_1,"For each activity, please compare it to how often your household used to do this on a typical weekday before the lockdown started. - Hours TV on: [QID21%231-ChoiceTextEntryValue-1-1]",1,This is more than before lockdown
Q12b_1,"For each activity, please compare it to how often your household used to do this on a typical weekday before the lockdown started. - Hours TV on: [QID21%231-ChoiceTextEntryValue-1-1]",2,This is fewer than before lockdown
Q12b_1,"For each activity, please compare it to how often your household used to do this on a typical weekday before the lockdown started. - Hours TV on: [QID21%231-ChoiceTextEntryValue-1-1]",3,This is about the same
Q12b_1,"For each activity, please compare it to how often your household used to do this on a typical weekday before the lockdown started. - Hours TV on: [QID21%231-ChoiceTextEntryValue-1-1]",4,Don't know
Q12b_2,"For each activity, please compare it to how often your household used to do this on a typical weekday before the lockdown started. - Hours using laptop, computer, or tablet: [QID21%231-ChoiceTextEntryValue-2-1]",1,This is more than before lockdown
Q12b_2,"For each activity, please compare it to how often your household used to do this on a typical weekday before the lockdown started. - Hours using laptop, computer, or tablet: [QID21%231-ChoiceTextEntryValue-2-1]",2,This is fewer than before lockdown
Q12b_2,"For each activity, please compare it to how often your household used to do this on a typical weekday before the lockdown started. - Hours using laptop, computer, or tablet: [QID21%231-ChoiceTextEntryValue-2-1]",3,This is about the same
Q12b_2,"For each activity, please compare it to how often your household used to do this on a typical weekday before the lockdown started. - Hours using laptop, computer, or tablet: [QID21%231-ChoiceTextEntryValue-2-1]",4,Don't know
Q12b_3,"For each activity, please compare it to how often your household used to do this on a typical weekday before the lockdown started. - Hours using electric gym equipment: [QID21%231-ChoiceTextEntryValue-3-1]",1,This is more than before lockdown
Q12b_3,"For each activity, please compare it to how often your household used to do this on a typical weekday before the lockdown started. - Hours using electric gym equipment: [QID21%231-ChoiceTextEntryValue-3-1]",2,This is fewer than before lockdown
Q12b_3,"For each activity, please compare it to how often your household used to do this on a typical weekday before the lockdown started. - Hours using electric gym equipment: [QID21%231-ChoiceTextEntryValue-3-1]",3,This is about the same
Q12b_3,"For each activity, please compare it to how often your household used to do this on a typical weekday before the lockdown started. - Hours using electric gym equipment: [QID21%231-ChoiceTextEntryValue-3-1]",4,Don't know
Q22a_1_1_1,We are interested in whether your household did some typical household activities at roughly the... - Time of day (during full lockdown) - Having baths 4am - 7.59am,1,4am - 7.59am
Q22a_1_1_2,We are interested in whether your household did some typical household activities at roughly the... - Time of day (during full lockdown) - Having baths 8am - 11.59am,1,8am - 11.59am
Q22a_1_1_3,We are interested in whether your household did some typical household activities at roughly the... - Time of day (during full lockdown) - Having baths 12pm - 3.59pm,1,12pm - 3.59pm
Q22a_1_1_4,We are interested in whether your household did some typical household activities at roughly the... - Time of day (during full lockdown) - Having baths 4pm - 7.59pm,1,4pm - 7.59pm
Q22a_1_1_5,We are interested in whether your household did some typical household activities at roughly the... - Time of day (during full lockdown) - Having baths 8pm - 11.59 pm,1,8pm - 11.59 pm
Q22a_1_1_6,We are interested in whether your household did some typical household activities at roughly the... - Time of day (during full lockdown) - Having baths 12am - 3.59am,1,12am - 3.59am
Q22a_1_2_1,We are interested in whether your household did some typical household activities at roughly the... - Time of day (during full lockdown) - Having showers 4am - 7.59am,1,4am - 7.59am
Q22a_1_2_2,We are interested in whether your household did some typical household activities at roughly the... - Time of day (during full lockdown) - Having showers 8am - 11.59am,1,8am - 11.59am
Q22a_1_2_3,We are interested in whether your household did some typical household activities at roughly the... - Time of day (during full lockdown) - Having showers 12pm - 3.59pm,1,12pm - 3.59pm
Q22a_1_2_4,We are interested in whether your household did some typical household activities at roughly the... - Time of day (during full lockdown) - Having showers 4pm - 7.59pm,1,4pm - 7.59pm
Q22a_1_2_5,We are interested in whether your household did some typical household activities at roughly the... - Time of day (during full lockdown) - Having showers 8pm - 11.59 pm,1,8pm - 11.59 pm
Q22a_1_2_6,We are interested in whether your household did some typical household activities at roughly the... - Time of day (during full lockdown) - Having showers 12am - 3.59am,1,12am - 3.59am
Q22a_1_3_1,We are interested in whether your household did some typical household activities at roughly the... - Time of day (during full lockdown) - Running the washing machine 4am - 7.59am,1,4am - 7.59am
Q22a_1_3_2,We are interested in whether your household did some typical household activities at roughly the... - Time of day (during full lockdown) - Running the washing machine 8am - 11.59am,1,8am - 11.59am
Q22a_1_3_3,We are interested in whether your household did some typical household activities at roughly the... - Time of day (during full lockdown) - Running the washing machine 12pm - 3.59pm,1,12pm - 3.59pm
Q22a_1_3_4,We are interested in whether your household did some typical household activities at roughly the... - Time of day (during full lockdown) - Running the washing machine 4pm - 7.59pm,1,4pm - 7.59pm
Q22a_1_3_5,We are interested in whether your household did some typical household activities at roughly the... - Time of day (during full lockdown) - Running the washing machine 8pm - 11.59 pm,1,8pm - 11.59 pm
Q22a_1_3_6,We are interested in whether your household did some typical household activities at roughly the... - Time of day (during full lockdown) - Running the washing machine 12am - 3.59am,1,12am - 3.59am
Q22a_1_4_1,We are interested in whether your household did some typical household activities at roughly the... - Time of day (during full lockdown) - Using the tumble dryer 4am - 7.59am,1,4am - 7.59am
Q22a_1_4_2,We are interested in whether your household did some typical household activities at roughly the... - Time of day (during full lockdown) - Using the tumble dryer 8am - 11.59am,1,8am - 11.59am
Q22a_1_4_3,We are interested in whether your household did some typical household activities at roughly the... - Time of day (during full lockdown) - Using the tumble dryer 12pm - 3.59pm,1,12pm - 3.59pm
Q22a_1_4_4,We are interested in whether your household did some typical household activities at roughly the... - Time of day (during full lockdown) - Using the tumble dryer 4pm - 7.59pm,1,4pm - 7.59pm
Q22a_1_4_5,We are interested in whether your household did some typical household activities at roughly the... - Time of day (during full lockdown) - Using the tumble dryer 8pm - 11.59 pm,1,8pm - 11.59 pm
Q22a_1_4_6,We are interested in whether your household did some typical household activities at roughly the... - Time of day (during full lockdown) - Using the tumble dryer 12am - 3.59am,1,12am - 3.59am
Q22a_1_5_1,We are interested in whether your household did some typical household activities at roughly the... - Time of day (during full lockdown) - Running the dishwasher 4am - 7.59am,1,4am - 7.59am
Q22a_1_5_2,We are interested in whether your household did some typical household activities at roughly the... - Time of day (during full lockdown) - Running the dishwasher 8am - 11.59am,1,8am - 11.59am
Q22a_1_5_3,We are interested in whether your household did some typical household activities at roughly the... - Time of day (during full lockdown) - Running the dishwasher 12pm - 3.59pm,1,12pm - 3.59pm
Q22a_1_5_4,We are interested in whether your household did some typical household activities at roughly the... - Time of day (during full lockdown) - Running the dishwasher 4pm - 7.59pm,1,4pm - 7.59pm
Q22a_1_5_5,We are interested in whether your household did some typical household activities at roughly the... - Time of day (during full lockdown) - Running the dishwasher 8pm - 11.59 pm,1,8pm - 11.59 pm
Q22a_1_5_6,We are interested in whether your household did some typical household activities at roughly the... - Time of day (during full lockdown) - Running the dishwasher 12am - 3.59am,1,12am - 3.59am
Q22a_1_6_1,"We are interested in whether your household did some typical household activities at roughly the... - Time of day (during full lockdown) - Using the oven, cooker or grill 4am - 7.59am",1,4am - 7.59am
Q22a_1_6_2,"We are interested in whether your household did some typical household activities at roughly the... - Time of day (during full lockdown) - Using the oven, cooker or grill 8am - 11.59am",1,8am - 11.59am
Q22a_1_6_3,"We are interested in whether your household did some typical household activities at roughly the... - Time of day (during full lockdown) - Using the oven, cooker or grill 12pm - 3.59pm",1,12pm - 3.59pm
Q22a_1_6_4,"We are interested in whether your household did some typical household activities at roughly the... - Time of day (during full lockdown) - Using the oven, cooker or grill 4pm - 7.59pm",1,4pm - 7.59pm
Q22a_1_6_5,"We are interested in whether your household did some typical household activities at roughly the... - Time of day (during full lockdown) - Using the oven, cooker or grill 8pm - 11.59 pm",1,8pm - 11.59 pm
Q22a_1_6_6,"We are interested in whether your household did some typical household activities at roughly the... - Time of day (during full lockdown) - Using the oven, cooker or grill 12am - 3.59am",1,12am - 3.59am
Q22a_1_7_1,"We are interested in whether your household did some typical household activities at roughly the... - Time of day (during full lockdown) - Having the TV on, including for playing games 4am - 7.59am",1,4am - 7.59am
Q22a_1_7_2,"We are interested in whether your household did some typical household activities at roughly the... - Time of day (during full lockdown) - Having the TV on, including for playing games 8am - 11.59am",1,8am - 11.59am
Q22a_1_7_3,"We are interested in whether your household did some typical household activities at roughly the... - Time of day (during full lockdown) - Having the TV on, including for playing games 12pm - 3.59pm",1,12pm - 3.59pm
Q22a_1_7_4,"We are interested in whether your household did some typical household activities at roughly the... - Time of day (during full lockdown) - Having the TV on, including for playing games 4pm - 7.59pm",1,4pm - 7.59pm
Q22a_1_7_5,"We are interested in whether your household did some typical household activities at roughly the... - Time of day (during full lockdown) - Having the TV on, including for playing games 8pm - 11.59 pm",1,8pm - 11.59 pm
Q22a_1_7_6,"We are interested in whether your household did some typical household activities at roughly the... - Time of day (during full lockdown) - Having the TV on, including for playing games 12am - 3.59am",1,12am - 3.59am
Q22a_1_8_1,"We are interested in whether your household did some typical household activities at roughly the... - Time of day (during full lockdown) - Using a laptop, computer, or tablet 4am - 7.59am",1,4am - 7.59am
Q22a_1_8_2,"We are interested in whether your household did some typical household activities at roughly the... - Time of day (during full lockdown) - Using a laptop, computer, or tablet 8am - 11.59am",1,8am - 11.59am
Q22a_1_8_3,"We are interested in whether your household did some typical household activities at roughly the... - Time of day (during full lockdown) - Using a laptop, computer, or tablet 12pm - 3.59pm",1,12pm - 3.59pm
