domain,master_var_name,concept,Sign Up Survey,2023 Survey,2025 Survey,Sign Up Survey Coding Type,2023 Survey Coding Type,2025 Survey Coding Type,Column Harmonisation,Master Dataframe Coding Type,notes
Demographics,age_group_75_84,How many people are there in 75-85 age group in your household?,,D2_75_85,Q1R6,,This is just the number of people in that age group. Does not need numeric coding.,This is just the number of people in that age group. Does not need numeric coding.,No,,For 2023 Survey the column is:D2_75_84 in the dataframe. Dictionary has typo.
Demographics,age_group_85plus,How many people are there over 85 years old in your household?,,D2_85plus,Q1R7,,F,This is just the number of people in that age group. Does not need numeric coding.,No,,
Demographics,WFH_situation,Does anyone in your household work in the following ways? Always work from home; Sometimes work from home; Never work from home; Not applicable /prefer not to say,,D4,,,T,,,,
Energy,no_EVs,How many plug-in electric vehicles does your household have?,,D5,Q34,,L,38,Yes,23.0,
Energy,no_EVs_12m,How many of the EVs has your household acquired in the last 12 months?,,D6,,,L,,,,
Health,life_satisfaction,"Overall, how satisfied are you with your life nowadays, where 0 is 'not at all satisfied' and 10 is 'completely satisfied'?",,E2,Q37,,M,39,Yes,24.0,
Health,life_worthwhile_score,"Overall, to what extent do you feel that the things you do in your life are worthwhile, where 0 is 'not at all worthwhile' and 10 is 'completely worthwhile'?",,E3,Q38,,M,39,Yes,24.0,
Demographics,weekday_occupancy,Is there usually at least one person in the home on a weekday?,,,Q3,,,,,,
Demographics,weekday_occ_frequency,How often is at least one adult in your household working or engaging in other activities (e.g. childcare) from home on a weekday?,,,Q4,,,,,,
Demographics,no_pets,Do you have any pets that live with your household? No,,,Q5_1,,,,,,
Demographics,dog,Do you have dog?,,,Q5_2,,,,,,
Demographics,cat,Do you have cat?,,,Q5_3,,,,,,
Demographics,rabbit,Do you have rabbit?,,,Q5_4,,,,,,
Demographics,indoor_bird,Do you have indoor bird?,,,Q5_5,,,,,,
Demographics,guinea_pigs,Do you have guinea pigs?,,,Q5_6,,,,,,
Demographics,hamsters,Do you have hamsters?,,,Q5_7,,,,,,
Demographics,tortoises_turtles,Do you have tortoises and turtles?,,,Q5_8,,,,,,
Demographics,lizard,Do you have lizard?,,,Q5_9,,,,,,
Demographics,snake,Do you have snake?,,,Q5_10,,,,,,
Demographics,domestic_fowl,Do you have domestic fowl?,,,Q5_11,,,,,,
Demographics,indoor_fish,Do you have indoor fish?,,,Q5_12,,,,,,
Demographics,other_pets,Do you have other pets?,,,Q5_13,,,,,,
Housing,building_type,What type of accommodation do you live in?,,,Q6,,,,,,
Housing,self_contained_accom,Is your accommodation self-contained?,,,Q7,,,,,,
Housing,no_bedrooms,How many of the rooms in your accommodation are bedrooms?,,,Q8,,,,,,
Housing,no_bathrooms_bath_shower,How many bathrooms do you have with a plumbed in bath or shower?,,,Q9,,,,,,Could be B1-Survey 2023.
Housing,own_rent_house?,Do you (or your household) own or rent this accommodation?,,,Q10,,,,,,
Housing,building_age,Approximately when do you think your accommodation was built?,,,Q11,,,,,,
Appliances,el_induction_hob,Appliances in accommodation - Kitchen - Electric Induction Hob,,,Q13_4,,,,,,
Appliances,other_kitchen_appliance,Appliances in accommodation - Kitchen - Other,,,Q13_6,,,,,,
Appliances,microwave,Appliances in accommodation - Kitchen - Microwave,,,Q13_30,,,,,,Derived from Q13_6.
Appliances,air_fryer,Appliances in accommodation - Kitchen - Air fryer,,,Q13_31,,,,,,Derived from Q13_6.
Appliances,slow_cooker,Appliances in accommodation - Kitchen - Slow cooker,,,Q13_32,,,,,,Derived from Q13_6.
Appliances,smart_plug,Appliances in accommodation - Kitchen - Smart plug,,,Q13_33,,,,,,Derived from Q13_6.
Appliances,smart_thermostat,Appliances in accommodation - Kitchen - Smart thermostat,,,Q13_34,,,,,,Derived from Q13_6.
